,0
0,ANKS1B
1,ALPK3
2,NEDD9
3,UACA
4,CLTC
5,NRXN1
6,DYNC2LI1
7,AGPAT3
8,WSB2
9,SYT11
10,KCNJ1
11,VCL
12,FZD8
13,C2CD4D
14,chr10
15,RPA4
16,SESN1
17,GRXCR2
18,GJC1
19,NXPE2
20,CARD14
21,RAET1G
22,BMP4
23,GRID2IP
24,UBE2M
25,TSPAN13
26,TPD52
27,WWC3
28,NXPH1
29,PHACTR3
30,TMEM87B
31,PPP1R17
32,LYPD5
33,RERGL
34,LXN
35,GPR125
36,PALM2-AKAP2
37,RAB3A
38,TPBG
39,RP11-216L13.17
40,ZFP37
41,C14orf182
42,CPD
43,UNC5C
44,RNF113B
45,HPSE2
46,MTRNR2L12
47,SEMA5B
48,PLEKHG4
49,ZNF667
50,CD9
51,BARD1
52,ZNF471
53,CDK9
54,WASF3
55,REEP2
56,RCSD1
57,CACNG4
58,SHOX2
59,GRAMD1C
60,HSD17B12
61,AMBRA1
62,SCN11A
63,DKKL1
64,NUDT7
65,NUDT16
66,PICK1
67,NCF4
68,HLA-DOA
69,RNF152
70,SNCB
71,PPME1
72,ZNF205
73,AC073343.1
74,SIAE
75,SLC12A5
76,ERBB2
77,SOX9
78,SNX2
79,C16orf93
80,PTPRM
81,C14orf37
82,MCF2L
83,ENAM
84,HEXIM2
85,PEX2
86,RP11-248J23.7
87,PALLD
88,SVIL
89,LIPC
90,KRT26
91,KIF26B
92,TNFRSF11A
93,NFASC
94,TMPRSS15
95,CLCF1
96,KRT82
97,BHLHA15
98,IRS1
99,SLC34A3
100,MBNL1
101,EGLN1
102,CHST7
103,AMBN
104,GADD45A
105,CECR2
106,CLEC12A
107,MYO7A
108,ABHD3
109,SPRYD7
110,BUB3
111,SLC7A3
112,EFCAB10
113,ATP10B
114,TCERG1L
115,SLC6A3
116,G6PC
117,AGAP1
118,SLC39A3
119,IRX1
120,DDC
121,HLA-DQA2
122,ADPRH
123,ZNF239
124,CA6
125,MAGEB2
126,ATL1
127,RIMKLB
128,AC006486.9
129,IAMP21_ratio
130,CLCN5
131,WWTR1
132,SCCPDH
133,CCDC122
134,FTSJ3
135,WDFY4
136,C9orf171
137,P2RY11
138,PLD5
139,CNN3
140,GYG1
141,AADACL4
142,ANXA11
143,DMXL2
144,TTC28
145,EFCC1
146,MPEG1
147,SET
148,C16orf89
149,THOP1
150,CASP2
151,RP11-1167A19.2
152,MBTPS1
153,CAV2
154,TGFB3
155,MEAF6
156,KCTD15
157,ZDHHC14
158,TPMT
159,LRPAP1
160,DLGAP2
161,HSPA13
162,ENPP2
163,IQCJ
164,STAP1
165,MAL2
166,WNT9A
167,PRKCA
168,TMEM213
169,PDLIM1
170,CADPS
171,ADAMTSL5
172,AMFR
173,AC005779.2
174,PCSK7
175,CTC-435M10.3
176,IGF2
177,DHCR7
178,MT1G
179,PARD3
180,RP11-766F14.2
181,ZNF251
182,TMEM200C
183,SOD2
184,VSTM2L
185,ATCAY
186,NECAB3
187,chr15
188,SERPINE2
189,SERPINI1
190,NHSL1
191,MEI4
192,GNAQ
193,C3orf70
194,MUC1
195,ZNF512B
196,HIPK4
197,GDPD1
198,KRT7
199,TNNT3
200,OR4F15
201,DSC3
202,FABP6
203,OR10G8
204,ABHD12B
205,NANP
206,GPC2
207,MSX2
208,DLK1
209,NPAS4
210,MEF2C
211,TCP10L
